mineral_name,group_yaml,mineral_class,end_member_key,formula,basis,source_url,retrieved_date,notes,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,CoO,ZnO,Sc2O3,B2O3,Li2O,Y2O3,ZrO2,HfO2,Nb2O5,V2O3,BaO,SrO,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,ThO2,UO2,PbO,F,Cl,H2O,CO2,OH,Si,Ti,Al,Cr,Fe,Mn,Mg,Ca,Na,K,P,Ni,Co,Zn,Sc,B,Li,Y,Zr,Hf,Nb,V,Ba,Sr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,U,Pb,S,Cu,As,Sb,Cd,O,H
Rhodochrosite,carbonate,Carbonate,rhodochrosite,MnCO3,oxide_wt_percent,https://webmineral.com/data/Rhodochrosite.shtml,2026-08-20,"Remainder of composition is CO2 (38.29%), not part of this oxide column set. [elemental pass: Element table also reports elemental C=10.45% (no C column in this schema; recorded CO2 from oxide table instead). Element total 100.00%; oxide total 100.00%.]",,,,,,,61.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.29,,,,,,,47.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.76,
Siderite,carbonate,Carbonate,siderite,FeCO3,oxide_wt_percent,https://webmineral.com/data/Siderite.shtml,2026-08-20,"Webmineral reports Fe as FeO (62.01%); remainder of composition is CO2 (37.99%), not part of this oxide column set. [elemental pass: Element table also reports elemental C=10.37% (no C column in this schema; recorded CO2 from oxide table instead). Element total 100.00%; oxide total 100.00%.]",,,,,,62.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.99,,,,,,48.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.43,
Chalcopyrite,chalcopyrite,Sulfide,chalcopyrite,CuFeS2,element_wt_percent,https://webmineral.com/data/Chalcopyrite.shtml,2026-08-20,[elemental pass: Re-confirmed from webmineral element table; Fe/Cu/S reported (100.00% total)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.94,34.63,,,,,
Chamosite,chlorite,Other silicate,fe_endmember,Fe5Al(AlSi3O10)(OH)8,oxide_wt_percent,https://webmineral.com/data/Chamosite.shtml,2026-08-20,"Page formula (Fe++,Mg,Fe+++)5Al(Si3Al)O10(OH,O)8 is a natural/general composition, not the pure Fe end-member -- MgO 9.10% is included. Page's own oxide total is only 98.19% (not adjusted). H2O 8.14% excluded. [elemental pass: Fe elemental wt% combines FeO(32.45%)+Fe2O3(6.01%) oxide split; formula notation (OH,O)8 but only H2O wt% reported]",27.14,,15.35,,6.01,32.45,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14,,,12.69,,8.12,,29.43,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.36,0.91
Clinochlore,chlorite,Other silicate,mg_endmember,Mg5Al(AlSi3O10)(OH)8,oxide_wt_percent,https://webmineral.com/data/Clinochlore.shtml,2026-08-20,"Page reports the general series formula (Mg,Fe++)5Al(Si3Al)O10(OH)8, not the pure Mg end-member -- FeO 15.09% is included in the tabulated composition. H2O 12.11% excluded.",30.28,,17.13,,,15.09,,25.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.11,,,14.16,,9.07,,11.73,,15.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.38,1.35
Chloritoid,chloritoid,Other silicate,fe_endmember,Fe2Al4Si2O10(OH)4,oxide_wt_percent,https://webmineral.com/data/Chloritoid.shtml,2026-08-20,"Page formula (Fe++,Mg,Mn)2Al4Si2O10(OH)4 is a general series composition, not the pure Fe end-member -- MgO 4.99% and MnO 2.93% are included. H2O 7.43% excluded. [elemental pass: Formula includes (OH)4; only H2O wt% reported, not separate OH]",24.79,,42.07,,,17.79,2.93,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,,,11.59,,22.27,,13.83,2.27,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.21,0.83
Magnesiochloritoid,chloritoid,Other silicate,mg_endmember,Mg2Al4Si2O10(OH)4,oxide_wt_percent,https://webmineral.com/data/Magnesiochloritoid.shtml,2026-08-20,"Page lists reduced formula MgAl2SiO5(OH)2 (= 1/2 Mg2Al4Si2O10(OH)4, same composition). H2O 8.18% excluded.",27.27,,46.27,,,,,18.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18,,,12.74,,24.49,,,,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.82,0.91
Aegirine,clinopyroxene,Pyroxene,aegirine,NaFeSi2O6,oxide_wt_percent,https://webmineral.com/data/Aegirine.shtml,2026-08-20,Not currently in resources/minerals/clinopyroxene.yaml end_members list (known gap being filled). Page's Empirical Formula NaFe3+(Si2O6) matches the ideal end-member NaFeSi2O6 exactly; oxide wt% total 100.00%. No volatiles reported.,52.02,,,,34.56,,,,,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.32,,,,24.18,,,,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.56,
Jadeite,clinopyroxene,Pyroxene,jadeite,NaAlSi2O6,oxide_wt_percent,https://webmineral.com/data/Jadeite.shtml,2026-08-20,"Not currently in resources/minerals/clinopyroxene.yaml end_members list (known gap being filled). Page's Empirical Formula is a natural sample NaAl0.9Fe3+0.1(Si2O6) (~10% acmite/aegirine substitution), not the pure ideal end-member NaAlSi2O6; oxide wt% total sums to 100.00%. No volatiles (H2O/OH/F/Cl) reported.",58.61,,22.38,,3.89,,,,,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.40,,11.84,,2.72,,,,11.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.82,
Cordierite,cordierite,Other silicate,mg_endmember,Mg2Al4Si5O18,oxide_wt_percent,https://webmineral.com/data/Cordierite.shtml,2026-08-20,Matches requested pure Mg end-member formula exactly. [elemental pass: No H2O/OH/CO2 reported on page],51.36,,34.86,,,,,13.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.01,,18.45,,,,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.23,
Sekaninaite,cordierite,Other silicate,fe_endmember,Fe2Al4Si5O18,oxide_wt_percent,https://webmineral.com/data/Sekaninaite.shtml,2026-08-20,"Page formula (Fe++,Mg)2Al4Si5O18 is a natural composition with minor Mg substitution, not the pure Fe end-member -- MgO 3.19% is included. [elemental pass: No H2O/OH/CO2 reported on page]",47.52,,32.25,,,17.04,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.21,,17.07,,13.25,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.55,
Clinozoisite,epidote,Epidote group,clinozoisite,Ca2Al3(SiO4)3(OH),oxide_wt_percent,https://webmineral.com/data/Clinozoisite.shtml,2026-08-20,H2O 1.98% excluded.,39.67,,33.66,,,,,,24.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,18.54,,17.82,,,,,17.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.78,0.22
Epidote,epidote,Epidote group,epidote,Ca2(Al2Fe)(SiO4)3(OH),oxide_wt_percent,https://webmineral.com/data/Epidote.shtml,2026-08-20,Page's empirical formula Ca2Fe3+2.25Al0.75(SiO4)3(OH) is more Fe-rich than the requested Fe:Al = 1:2 ratio (page's Fe:Al ~= 3:1). H2O 1.73% excluded.,34.71,,7.36,,34.6,,,,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,16.22,,3.90,,24.20,,,15.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.05,0.19
Albite,feldspar,Feldspar,albite,NaAlSi3O8,oxide_wt_percent,https://webmineral.com/data/Albite.shtml,2026-08-20,"Webmineral's computed composition is from empirical formula Na0.95Ca0.05Al1.05Si2.95O8 (minor Ca substitution), not perfectly pure NaAlSi3O8; values used as reported.",67.39,,20.35,,,,,,1.07,11.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,,10.77,,,,,0.76,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.66,
Anorthite,feldspar,Feldspar,anorthite,CaAl2Si2O8,oxide_wt_percent,https://webmineral.com/data/Anorthite.shtml,2026-08-20,"Webmineral's computed composition is from its empirical formula Na0.05Ca0.95Al1.95Si2.05O8 (minor Na substitution), not perfectly pure CaAl2Si2O8; values used as reported.",44.40,,35.84,,,,,,19.20,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,,18.97,,,,,13.72,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.14,
Orthoclase,feldspar,Feldspar,orthoclase,KAlSi3O8,oxide_wt_percent,https://webmineral.com/data/Orthoclase.shtml,2026-08-20,Pure end-member composition; molecular weight 278.33 gm matches ideal KAlSi3O8 exactly.,64.76,,18.32,,,,,,,,16.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,,9.69,,,,,,,14.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.99,
Fluorite,fluorite,Halide,fluorite,CaF2,oxide_wt_percent,https://webmineral.com/data/Fluorite.shtml,2026-08-20,"Halide mineral -- new placeholder group_yaml with no backing resources/minerals/*.yaml config yet. Page reports a -O=F2 charge-balance correction of -20.49% (not stored, no matching column) to reach its 100.00% oxide total.",,,,,,,,,71.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.67,,,,,,,,,,,,51.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almandine,garnet,Garnet,almandine,Fe3Al2Si3O12,oxide_wt_percent,https://webmineral.com/data/Almandine.shtml,2026-08-20,"Page header formula shows 'Fe3+Al2(SiO4)3' (likely a typo for Fe2+3) but the empirical formula and oxide table both use ferrous iron (FeO), and molecular weight 497.75 gm matches Fe3Al2Si3O12 with FeO; values used as reported.",36.21,,20.48,,,43.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.93,,10.84,,33.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.57,
Andradite,garnet,Garnet,andradite,Ca3Fe2Si3O12,oxide_wt_percent,https://webmineral.com/data/Andradite.shtml,2026-08-20,"Pure end-member composition; formula given as Ca3Fe+++2(SiO4)3, iron reported as Fe2O3.",35.47,,,,31.42,,,,33.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.73,,,,19.52,,,21.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.74,
Grossular,garnet,Garnet,grossular,Ca3Al2Si3O12,oxide_wt_percent,https://webmineral.com/data/Grossular.shtml,2026-08-20,Pure end-member composition.,40.02,,22.64,,,,,,37.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.71,,11.98,,,,,26.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.62,
Pyrope,garnet,Garnet,pyrope,Mg3Al2Si3O12,oxide_wt_percent,https://webmineral.com/data/Pyrope.shtml,2026-08-20,"Pure end-member composition; formula given as Mg3Al2(SiO4)3, equivalent to Mg3Al2Si3O12.",44.71,,25.29,,,,,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,13.39,,,,18.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.63,
Spessartine,garnet,Garnet,spessartine,Mn3Al2Si3O12,oxide_wt_percent,https://webmineral.com/data/Spessartine.shtml,2026-08-20,Pure end-member composition.,36.41,,20.60,,,,42.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.02,,10.9,,,33.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.78,
Uvarovite,garnet,Garnet,uvarovite,Ca3Cr2Si3O12,oxide_wt_percent,https://webmineral.com/data/Uvarovite.shtml,2026-08-20,"IMPORTANT CAVEAT: webmineral's page verbatim lists the chromium oxide as 'CrO' at 27.17 wt% (apparently treating Cr as divalent), not Cr2O3, and its own page total only sums to 96.80% oxide (not 100%), which the page itself flags as anomalous. Left Cr2O3 blank rather than converting/estimating a Cr2O3 value ourselves. CaO and SiO2 values are as reported and appear internally consistent. Needs manual follow-up/second source for Cr2O3 wt%.",36.02,,,,,,,,33.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.84,,,20.78,,,,24.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.36,
Ferroglaucophane,glaucophane,Amphibole,fe_al_endmember,Na2Fe3Al2Si8O22(OH)2,oxide_wt_percent,https://webmineral.com/data/Ferroglaucophane.shtml,2026-08-20,"Pure end-member composition; formula Na2(Fe++3Al2)Si8O22(OH)2, iron reported as FeO. Page also lists H2O 2.05 wt%, not included (no matching column). [elemental pass: H2O wt% given alongside elemental H in the same composition table row (""0.23% H  2.05% H2O""); Fe reported as FeO-derived elemental Fe (ferrous); OH not given as a separate wt% figure]",54.74,,11.61,,,24.54,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,25.59,,6.14,,19.08,,,,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.73,0.23
Glaucophane,glaucophane,Amphibole,mg_al_endmember,Na2Mg3Al2Si8O22(OH)2,oxide_wt_percent,https://webmineral.com/data/Glaucophane.shtml,2026-08-20,"Pure end-member composition. Page also lists H2O 2.30 wt% (structural OH), not included as no matching column exists in this schema. [elemental pass: H2O wt% given alongside elemental H in the same composition table row (""0.26% H  2.30% H2O""); OH not given as a separate wt% figure]",61.35,,13.01,,,,,15.43,,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,28.68,,6.89,,,,9.31,,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.01,0.26
Riebeckite,glaucophane,Amphibole,fe_fe3_endmember,Na2Fe3Fe2Si8O22(OH)2,oxide_wt_percent,https://webmineral.com/data/Riebeckite.shtml,2026-08-20,"Pure end-member composition; formula Na2(Fe++3Fe+++2)Si8O22(OH)2, iron split between FeO (Fe2+, 23.03%) and Fe2O3 (Fe3+, 17.06%). Page also lists H2O 1.92 wt%, not included (no matching column). [elemental pass: H2O wt% given alongside elemental H in the same composition table row (""0.22% H  1.92% H2O""); Fe reported as sum of FeO-derived and Fe2O3-derived elemental Fe (total Fe, mixed valence per formula Na2(Fe3++Fe2+2)Si8O22(OH)2); OH not given as a separate wt% figure]",51.36,,,,17.06,23.03,,,,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,24.01,,,,29.84,,,,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.03,0.22
Hematite,hematite,Oxide,hematite,Fe2O3,oxide_wt_percent,https://webmineral.com/data/Hematite.shtml,2026-08-20,"Pure stoichiometric composition as calculated by webmineral.com. [elemental pass: Simple Fe2O3; single Fe value, no Fe2+/Fe3+ distinction needed.]",,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06,
Illite,illite,Clay,illite,"(K,H3O)(Al,Mg,Fe)2(Si,Al)4O10[(OH)2,(H2O)]",oxide_wt_percent,https://webmineral.com/data/Illite.shtml,2026-08-21,"New placeholder group_yaml, no backing config yet. Page's own oxide total is 95.27% (not renormalized). H2O 12.03% oxide-equivalent (elemental H 1.35%) reported alongside the formula's (OH)2/(H2O) mixed notation -- recorded as a single H2O value, not split into separate OH/H2O figures, same convention used elsewhere in this file when the source page doesn't split them itself. Fe reported as a single elemental value; recorded under FeO per the page's own oxide column.",54.01,,17.02,,,1.85,,3.11,,,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03,,,25.25,,9.01,,1.43,,1.87,,,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.06,1.35
Geikielite,ilmenite,Oxide,geikielite,MgTiO3,oxide_wt_percent,https://webmineral.com/data/Geikielite.shtml,2026-08-20,"Pure stoichiometric end-member composition as calculated by webmineral.com. [elemental pass: Single element table: Mg, Ti, O only; no Fe present in this end member.]",,66.46,,,,,,33.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.84,,,,,20.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.94,
Ilmenite,ilmenite,Oxide,ilmenite,FeTiO3,oxide_wt_percent,https://webmineral.com/data/Ilmenite.shtml,2026-08-20,Pure stoichiometric end-member composition as calculated by webmineral.com. [elemental pass: Page gives a single Fe value (no Fe2+/Fe3+ split); formula shown as Fe++TiO3.],,52.65,,,,47.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.56,,,36.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.63,
Pyrophanite,ilmenite,Oxide,pyrophanite,MnTiO3,oxide_wt_percent,https://webmineral.com/data/Pyrophanite.shtml,2026-08-20,"Pure stoichiometric end-member composition as calculated by webmineral.com. [elemental pass: Single element table: Ti, Mn, O only.]",,52.96,,,,,47.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.75,,,,36.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.83,
Kaolinite,kaolinite,Clay,kaolinite,Al2Si2O5(OH)4,oxide_wt_percent,https://webmineral.com/data/Kaolinite.shtml,2026-08-21,"New placeholder group_yaml, no backing config yet. Pure end-member, oxide total 100.00%.",46.55,,39.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96,,,21.76,,20.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.78,1.56
Lawsonite,lawsonite,Other silicate,lawsonite,CaAl2Si2O7(OH)2*H2O,oxide_wt_percent,https://webmineral.com/data/Lawsonite.shtml,2026-08-20,"H2O 11.47% not mapped to an oxide column here. [elemental pass: Formula CaAl2Si2O7(OH)2*H2O; page reports single combined H2O=11.47% (oxide-equivalent) covering both structural OH and molecular H2O, not split. Element total 100.00%.]",38.24,,32.45,,,,,,17.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.47,,,17.88,,17.17,,,,,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.91,1.28
